, 2193
half, 8
spoke, 2
don't, 2
throng,, 1
mine,, 1
approved, 1
would, 9
frowning", 1
reproach, 1
character,, 2
ten, 1
unfeeling, 1
energy, 2
"few, 1
mind,, 3
-, 1
tallow, 1
2, 3
3, 1
affectionate,, 1
applies, 1
left, 7
reserved, 1
temper, 4
=, 13
A, 8
baby's, 1
throne., 1
June,, 1
POLITICS--THE, 1
I, 47
child,, 4
turn, 1
elect, 1
O, 2
sports,, 2
throne?, 1
same, 9
Title:, 1
recollect,", 1
roam,, 1
after, 9
quiet, 1
ye've, 1
Spain., 1
hand, 1
a, 186
blistered, 1
artistic, 1
i, 1
time,, 2
blood, 1
beliefs, 1
the, 543
soul.", 1
paralytic, 1
fifth, 3
tho, 1
information, 3
|, 108
violent, 2
thy, 1
dexterity,, 1
Sheffield!, 1
Murray), 1
good, 4
faithful, 1
empty, 1
genial,, 1
grandfather,, 1
besides, 1
gait,, 1
laugh, 1
others, 3
poet,, 7
making, 2
Harrow, 3
Hucknal, 1
lordship,, 1
8th, 1
Goethe,, 1
transfiguring, 1
bards!, 1
Ah!, 1
Dorset,, 1
son),, 1
earth., 1
Ah,, 1
disturbed, 1
4000l., 1
Island_, 1
1722,, 1
I.)., 1
representation, 1
gratitude,, 1
society, 3
arranged, 1
romantic, 1
kindest, 1
Islands, 1
November, 1
infirmity, 1
other,, 1
wife--widow, 1
1723,, 1
H.M.S., 1
endeavoured, 1
expose, 1
room, 2
better, 1
omnivorous, 1
Byron's, 9
Frenchmen, 1
Viscount, 3
charity.", 1
stormed, 1
well, 5
handling, 1
scholar., 2
Morgan's, 1
taking, 1
illustrates, 1
Conyers,, 1
school;, 1
loved, 1
flashing, 1
high-places, 1
fierce, 2
and,, 2
hate, 1
poets, 4
"canny, 1
Greece,, 1
Demosthenes,, 1
consigned, 1
went, 2
pressed, 1
considering, 1
distant, 2
county,, 1
sister's, 1
bleakness, 1
woman, 2
successor, 1
him!", 1
Rupert, 1
save, 1
Rochdale,, 2
romance,, 2
List,--after, 1
neglected;, 1
romance., 1
matter, 3
Mesolonghi., 1
own,, 2
top, 1
too, 4
study,, 1
Richard, 5
have, 41
poet., 1
romance:, 1
Wentworth, 1
famous, 3
Georgiana,, 1
question, 1
Four, 1
look'd, 1
spirit, 1
savage,, 1
discouraged, 1
Hebrides, 1
intellectual, 1
picture, 1
order;, 1
school,, 2
regard, 1
anecdote, 1
"Your, 1
All, 3
Westminster, 1
continues,--, 1
capital, 1
quack, 1
upon, 3
pray, 1
crawl, 1
ambitious, 1
time., 1
quite, 1
hated, 2
well-known, 2
circumstances, 1
including, 1
lay, 1
refrains,--, 1
hidden,, 1
_Childe, 2
Kennedy's, 1
dandy.", 1
illness,, 1
less, 5
employments,, 1
"Although, 1
20., 1
institutions, 1
production,, 1
were, 25
And, 8
pupil,, 2
comment,, 1
torture., 1
"anything, 1
became, 6
_Fatal, 1
quotations,, 1
scenery, 2
Regillus., 1
Harold_, 1
effective, 1
times, 1
Ewing, 1
Admiral, 2
similarly, 1
street-sweepers, 1
generous, 1
Commons,", 1
says, 1
"Mad, 1
Jack")., 1
That, 1
reader--"I, 1
Wordsworth., 1
Their, 1
distinguished, 2
opening, 1
(Macimillan), 1
"Never, 1
that,, 3
antipathy;, 1
senior,, 2
Gight,, 1
(Alonzo),, 1
expedition, 1
Byron., 3
pity, 1
led, 3
Byron,, 20
freshness, 2
SCOTT, 1
